study,group,tissue,gene1,gene2,is_marker
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ATP6V0B,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CD52,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CD55,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CD8A,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CD8B,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CDC42EP3,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CSF3R,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CTSS,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CXCR4,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,DUSP2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ENO1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,G0S2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,GNG5,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,H3F3A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ID2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,IL1B,60,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,IL1RN,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,JAK1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,LAPTM5,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,LMNA,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,MCL1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NBPF26,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NCF2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NCL,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NLRP3,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PCBP1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PLEK,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PRRC2C,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PTP4A2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PTPRC,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,REL,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,RGS1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A10,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A11,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A12,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A4,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A6,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,SFPQ,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,SH3BGRL3,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,SRSF7,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,TNFRSF1B,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,TPM3,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,TXNIP,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,VAMP8,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,YBX1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ZEB2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ZFP36L2,2,no
17.human_TabulaSapiens,normal,Bladder,ABL2,5,no
17.human_TabulaSapiens,normal,Bladder,ADAMTS4,5,no
17.human_TabulaSapiens,normal,Bladder,ARPC5,5,no
17.human_TabulaSapiens,normal,Bladder,C1QA,4,no
17.human_TabulaSapiens,normal,Bladder,C1QC,5,no
17.human_TabulaSapiens,normal,Bladder,CAP1,6,no
17.human_TabulaSapiens,normal,Bladder,CAPZB,2,no
17.human_TabulaSapiens,normal,Bladder,CCN1,2,no
17.human_TabulaSapiens,normal,Bladder,CCT3,3,no
17.human_TabulaSapiens,normal,Bladder,CD48,6,no
17.human_TabulaSapiens,normal,Bladder,CDC42,4,no
17.human_TabulaSapiens,normal,Bladder,CFH,4,no
17.human_TabulaSapiens,normal,Bladder,CNN3,3,no
17.human_TabulaSapiens,normal,Bladder,CSRP1,5,no
17.human_TabulaSapiens,normal,Bladder,CTSK,3,no
17.human_TabulaSapiens,normal,Bladder,DDR2,4,no
17.human_TabulaSapiens,normal,Bladder,DPT,5,no
17.human_TabulaSapiens,normal,Bladder,EIF3I,3,no
17.human_TabulaSapiens,normal,Bladder,FCER1G,3,no
17.human_TabulaSapiens,normal,Bladder,GAS5,5,no
17.human_TabulaSapiens,normal,Bladder,GLUL,5,no
17.human_TabulaSapiens,normal,Bladder,HES4,4,no
17.human_TabulaSapiens,normal,Bladder,HMGN2,2,no
17.human_TabulaSapiens,normal,Bladder,ID3,5,no
17.human_TabulaSapiens,normal,Bladder,IER5,5,no
17.human_TabulaSapiens,normal,Bladder,JAK1,3,no
17.human_TabulaSapiens,normal,Bladder,JUN,5,no
17.human_TabulaSapiens,normal,Bladder,KRTCAP2,3,no
17.human_TabulaSapiens,normal,Bladder,LMOD1,4,no
17.human_TabulaSapiens,normal,Bladder,MGST3,4,no
17.human_TabulaSapiens,normal,Bladder,MTATP6P1,4,no
17.human_TabulaSapiens,normal,Bladder,MYOC,5,no
17.human_TabulaSapiens,normal,Bladder,NBL1,3,no
17.human_TabulaSapiens,normal,Bladder,NEXN,5,no
17.human_TabulaSapiens,normal,Bladder,NFIA,3,no
17.human_TabulaSapiens,normal,Bladder,OLFML3,2,no
17.human_TabulaSapiens,normal,Bladder,PDE4B,7,no
17.human_TabulaSapiens,normal,Bladder,PDPN,4,no
17.human_TabulaSapiens,normal,Bladder,PLA2G2A,1,no
17.human_TabulaSapiens,normal,Bladder,PLPP3,3,no
17.human_TabulaSapiens,normal,Bladder,PTPRC,4,no
17.human_TabulaSapiens,normal,Bladder,RAB13,4,no
17.human_TabulaSapiens,normal,Bladder,RGS2,1,no
17.human_TabulaSapiens,normal,Bladder,RPL11,2,no
17.human_TabulaSapiens,normal,Bladder,RPL22,4,no
17.human_TabulaSapiens,normal,Bladder,RPS27,1,no
17.human_TabulaSapiens,normal,Bladder,RPS8,1,no
17.human_TabulaSapiens,normal,Bladder,SH3BGRL3,3,no
17.human_TabulaSapiens,normal,Bladder,SRSF11,2,no
17.human_TabulaSapiens,normal,Bladder,TACSTD2,1,no
17.human_TabulaSapiens,normal,Bladder,TAGLN2,1,no
17.human_TabulaSapiens,normal,Bladder,TMEM50A,6,no
17.human_TabulaSapiens,normal,Bladder,TMEM59,3,no
17.human_TabulaSapiens,normal,Bladder,TNFRSF1B,7,no
17.human_TabulaSapiens,normal,Bladder,TPM3,5,no
17.human_TabulaSapiens,normal,Bladder,TXNIP,6,no
17.human_TabulaSapiens,normal,Bladder,UAP1,4,no
17.human_TabulaSapiens,normal,Bladder,UFC1,4,no
17.human_TabulaSapiens,normal,Bladder,UQCRH,4,no
17.human_TabulaSapiens,normal,Bladder,WASF2,4,no
17.human_TabulaSapiens,normal,Bladder,YBX1,2,no
17.human_TabulaSapiens,normal,Blood,AGTRAP,2,no
17.human_TabulaSapiens,normal,Blood,ANP32E,1,no
17.human_TabulaSapiens,normal,Blood,ARPC5,2,no
17.human_TabulaSapiens,normal,Blood,ATP5PB,1,no
17.human_TabulaSapiens,normal,Blood,ATP6V0B,1,no
17.human_TabulaSapiens,normal,Blood,AURKAIP1,1,no
17.human_TabulaSapiens,normal,Blood,C1orf162,1,no
17.human_TabulaSapiens,normal,Blood,CAP1,2,no
17.human_TabulaSapiens,normal,Blood,CD48,2,no
17.human_TabulaSapiens,normal,Blood,CD55,1,no
17.human_TabulaSapiens,normal,Blood,CDA,2,no
17.human_TabulaSapiens,normal,Blood,CR1,2,no
17.human_TabulaSapiens,normal,Blood,CSF3R,2,no
17.human_TabulaSapiens,normal,Blood,DDOST,2,no
17.human_TabulaSapiens,normal,Blood,EFHD2,2,no
17.human_TabulaSapiens,normal,Blood,ENO1,1,no
17.human_TabulaSapiens,normal,Blood,FAM129A,2,no
17.human_TabulaSapiens,normal,Blood,FCER1G,2,no
17.human_TabulaSapiens,normal,Blood,FCGR2A,1,no
17.human_TabulaSapiens,normal,Blood,G0S2,2,no
17.human_TabulaSapiens,normal,Blood,GLUL,2,no
17.human_TabulaSapiens,normal,Blood,GNG5,1,no
17.human_TabulaSapiens,normal,Blood,H3F3A,2,no
17.human_TabulaSapiens,normal,Blood,HNRNPU,2,no
17.human_TabulaSapiens,normal,Blood,JTB,1,no
17.human_TabulaSapiens,normal,Blood,JUN,2,no
17.human_TabulaSapiens,normal,Blood,KRTCAP2,2,no
17.human_TabulaSapiens,normal,Blood,MCL1,2,no
17.human_TabulaSapiens,normal,Blood,MICOS10,2,no
17.human_TabulaSapiens,normal,Blood,MNDA,2,no
17.human_TabulaSapiens,normal,Blood,MTATP6P1,2,no
17.human_TabulaSapiens,normal,Blood,NUCKS1,1,no
17.human_TabulaSapiens,normal,Blood,PADI4,1,no
17.human_TabulaSapiens,normal,Blood,PARK7,1,no
17.human_TabulaSapiens,normal,Blood,PARP1,2,no
17.human_TabulaSapiens,normal,Blood,PRDX1,1,no
17.human_TabulaSapiens,normal,Blood,PTP4A2,1,no
17.human_TabulaSapiens,normal,Blood,PTPRC,2,no
17.human_TabulaSapiens,normal,Blood,RGS18,2,no
17.human_TabulaSapiens,normal,Blood,RGS2,2,no
17.human_TabulaSapiens,normal,Blood,RSRP1,2,no
17.human_TabulaSapiens,normal,Blood,S100A11,2,no
17.human_TabulaSapiens,normal,Blood,S100A12,2,no
17.human_TabulaSapiens,normal,Blood,S100A4,2,no
17.human_TabulaSapiens,normal,Blood,S100A6,2,no
17.human_TabulaSapiens,normal,Blood,S100A8,2,no
17.human_TabulaSapiens,normal,Blood,S100A9,2,no
17.human_TabulaSapiens,normal,Blood,SH3GLB1,2,no
17.human_TabulaSapiens,normal,Blood,SMAP2,2,no
17.human_TabulaSapiens,normal,Blood,SSR2,1,no
17.human_TabulaSapiens,normal,Blood,TAGLN2,2,no
17.human_TabulaSapiens,normal,Blood,TMEM59,1,no
17.human_TabulaSapiens,normal,Blood,TNFRSF1B,1,no
17.human_TabulaSapiens,normal,Blood,TPM3,1,no
17.human_TabulaSapiens,normal,Blood,WASF2,1,no
17.human_TabulaSapiens,normal,Bone Marrow,AK2,1,no
17.human_TabulaSapiens,normal,Bone Marrow,ATP5IF1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,AURKAIP1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,CAP1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,CD52,1,no
17.human_TabulaSapiens,normal,Bone Marrow,LSM10,1,no
17.human_TabulaSapiens,normal,Bone Marrow,MACF1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,MAD2L2,1,no
17.human_TabulaSapiens,normal,Bone Marrow,NDUFS5,1,no
17.human_TabulaSapiens,normal,Bone Marrow,NFYC,1,no
17.human_TabulaSapiens,normal,Bone Marrow,PEF1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,PPIE,1,no
17.human_TabulaSapiens,normal,Bone Marrow,PPIH,1,no
17.human_TabulaSapiens,normal,Bone Marrow,RPL11,1,no
17.human_TabulaSapiens,normal,Bone Marrow,SH3BGRL3,1,no
17.human_TabulaSapiens,normal,Bone Marrow,SPCS2P4,1,no
17.human_TabulaSapiens,normal,Bone Marrow,TAF12,1,no
17.human_TabulaSapiens,normal,Bone Marrow,TMEM35B,1,no
17.human_TabulaSapiens,normal,Bone Marrow,TMSB4XP1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,UBE2J2,1,no
17.human_TabulaSapiens,normal,Bone Marrow,WASF2,1,no
17.human_TabulaSapiens,normal,Lung,AHCYL1,2,no
17.human_TabulaSapiens,normal,Lung,ATP5IF1,1,no
17.human_TabulaSapiens,normal,Lung,ATP6V0B,2,no
17.human_TabulaSapiens,normal,Lung,AURKAIP1,1,no
17.human_TabulaSapiens,normal,Lung,C1QB,1,no
17.human_TabulaSapiens,normal,Lung,C1QC,1,no
17.human_TabulaSapiens,normal,Lung,C1orf122,1,no
17.human_TabulaSapiens,normal,Lung,CAP1,2,no
17.human_TabulaSapiens,normal,Lung,CHI3L2,1,no
17.human_TabulaSapiens,normal,Lung,CSDE1,1,no
17.human_TabulaSapiens,normal,Lung,CSF3R,1,no
17.human_TabulaSapiens,normal,Lung,DDAH1,1,no
17.human_TabulaSapiens,normal,Lung,EFHD2,1,no
17.human_TabulaSapiens,normal,Lung,ERRFI1,1,no
17.human_TabulaSapiens,normal,Lung,FGGY,2,no
17.human_TabulaSapiens,normal,Lung,FMO5,3,no
17.human_TabulaSapiens,normal,Lung,GCLM,1,no
17.human_TabulaSapiens,normal,Lung,GNB1,1,no
17.human_TabulaSapiens,normal,Lung,HNRNPR,1,no
17.human_TabulaSapiens,normal,Lung,IFI6,1,no
17.human_TabulaSapiens,normal,Lung,ISG15,2,no
17.human_TabulaSapiens,normal,Lung,JUN,2,no
17.human_TabulaSapiens,normal,Lung,LAPTM5,2,no
17.human_TabulaSapiens,normal,Lung,MACF1,1,no
17.human_TabulaSapiens,normal,Lung,MAGI3,1,no
17.human_TabulaSapiens,normal,Lung,MRPL20,1,no
17.human_TabulaSapiens,normal,Lung,MRPS15,1,no
17.human_TabulaSapiens,normal,Lung,MTATP6P1,3,no
17.human_TabulaSapiens,normal,Lung,NASP,1,no
17.human_TabulaSapiens,normal,Lung,NRDC,1,no
17.human_TabulaSapiens,normal,Lung,PDZK1IP1,2,no
17.human_TabulaSapiens,normal,Lung,PRDX1,1,no
17.human_TabulaSapiens,normal,Lung,PRKCZ,1,no
17.human_TabulaSapiens,normal,Lung,PRPF38B,1,no
17.human_TabulaSapiens,normal,Lung,PSMB2,1,no
17.human_TabulaSapiens,normal,Lung,RER1,1,no
17.human_TabulaSapiens,normal,Lung,RPL11,2,no
17.human_TabulaSapiens,normal,Lung,RPL22,1,no
17.human_TabulaSapiens,normal,Lung,RPS8,2,no
17.human_TabulaSapiens,normal,Lung,SERBP1,1,no
17.human_TabulaSapiens,normal,Lung,SFPQ,1,no
17.human_TabulaSapiens,normal,Lung,SH3BGRL3,2,no
17.human_TabulaSapiens,normal,Lung,SRRM1,1,no
17.human_TabulaSapiens,normal,Lung,SRSF4,1,no
17.human_TabulaSapiens,normal,Lung,SSU72,1,no
17.human_TabulaSapiens,normal,Lung,TACSTD2,2,no
17.human_TabulaSapiens,normal,Lung,TXNIP,1,no
17.human_TabulaSapiens,normal,Lung,YBX1,2,no
17.human_TabulaSapiens,normal,Lymph Node,AKR1A1,2,no
17.human_TabulaSapiens,normal,Lymph Node,ANP32E,2,no
17.human_TabulaSapiens,normal,Lymph Node,ATP5IF1,1,no
17.human_TabulaSapiens,normal,Lymph Node,ATP5PB,3,no
17.human_TabulaSapiens,normal,Lymph Node,ATP6V0B,1,no
17.human_TabulaSapiens,normal,Lymph Node,C1QA,1,no
17.human_TabulaSapiens,normal,Lymph Node,CAPZB,2,no
17.human_TabulaSapiens,normal,Lymph Node,CD52,1,no
17.human_TabulaSapiens,normal,Lymph Node,CD53,1,no
17.human_TabulaSapiens,normal,Lymph Node,CDC42,1,no
17.human_TabulaSapiens,normal,Lymph Node,CSDE1,1,no
17.human_TabulaSapiens,normal,Lymph Node,CTSS,3,no
17.human_TabulaSapiens,normal,Lymph Node,DDOST,1,no
17.human_TabulaSapiens,normal,Lymph Node,DNAJC8,2,no
17.human_TabulaSapiens,normal,Lymph Node,EBNA1BP2,1,no
17.human_TabulaSapiens,normal,Lymph Node,EFHD2,3,no
17.human_TabulaSapiens,normal,Lymph Node,EIF3I,3,no
17.human_TabulaSapiens,normal,Lymph Node,ENO1,1,no
17.human_TabulaSapiens,normal,Lymph Node,GNB1,2,no
17.human_TabulaSapiens,normal,Lymph Node,GNG5,2,no
17.human_TabulaSapiens,normal,Lymph Node,HMGN2,1,no
17.human_TabulaSapiens,normal,Lymph Node,HP1BP3,2,no
17.human_TabulaSapiens,normal,Lymph Node,ID3,2,no
17.human_TabulaSapiens,normal,Lymph Node,JAK1,2,no
17.human_TabulaSapiens,normal,Lymph Node,JUN,1,no
17.human_TabulaSapiens,normal,Lymph Node,LAMTOR5,2,no
17.human_TabulaSapiens,normal,Lymph Node,LAPTM5,1,no
17.human_TabulaSapiens,normal,Lymph Node,LINC01781,1,no
17.human_TabulaSapiens,normal,Lymph Node,MAGOH,1,no
17.human_TabulaSapiens,normal,Lymph Node,MAN1A2,2,no
17.human_TabulaSapiens,normal,Lymph Node,MICOS10,2,no
17.human_TabulaSapiens,normal,Lymph Node,MRPL20,1,no
17.human_TabulaSapiens,normal,Lymph Node,MRPL37,2,no
17.human_TabulaSapiens,normal,Lymph Node,MRPS15,2,no
17.human_TabulaSapiens,normal,Lymph Node,MRPS21,3,no
17.human_TabulaSapiens,normal,Lymph Node,MRTO4,2,no
17.human_TabulaSapiens,normal,Lymph Node,NASP,1,no
17.human_TabulaSapiens,normal,Lymph Node,NDUFS5,2,no
17.human_TabulaSapiens,normal,Lymph Node,NRDC,2,no
17.human_TabulaSapiens,normal,Lymph Node,NUDC,2,no
17.human_TabulaSapiens,normal,Lymph Node,ODF2L,2,no
17.human_TabulaSapiens,normal,Lymph Node,PARK7,2,no
17.human_TabulaSapiens,normal,Lymph Node,PDE4DIP,3,no
17.human_TabulaSapiens,normal,Lymph Node,PPT1,1,no
17.human_TabulaSapiens,normal,Lymph Node,PSMA5,2,no
17.human_TabulaSapiens,normal,Lymph Node,PSMB4,2,no
17.human_TabulaSapiens,normal,Lymph Node,PSMD4,2,no
17.human_TabulaSapiens,normal,Lymph Node,PTP4A2,2,no
17.human_TabulaSapiens,normal,Lymph Node,RAP1A,1,no
17.human_TabulaSapiens,normal,Lymph Node,RBBP4,2,no
17.human_TabulaSapiens,normal,Lymph Node,RBM8A,2,no
17.human_TabulaSapiens,normal,Lymph Node,RER1,2,no
17.human_TabulaSapiens,normal,Lymph Node,RPL11,1,no
17.human_TabulaSapiens,normal,Lymph Node,RPL22,3,no
17.human_TabulaSapiens,normal,Lymph Node,RPS8,2,no
17.human_TabulaSapiens,normal,Lymph Node,S100A10,2,no
17.human_TabulaSapiens,normal,Lymph Node,S100A11,1,no
17.human_TabulaSapiens,normal,Lymph Node,S100A6,2,no
17.human_TabulaSapiens,normal,Lymph Node,S100A9,3,no
17.human_TabulaSapiens,normal,Lymph Node,SELENOF,1,no
17.human_TabulaSapiens,normal,Lymph Node,SFPQ,1,no
17.human_TabulaSapiens,normal,Lymph Node,SRRM1,1,no
17.human_TabulaSapiens,normal,Lymph Node,SRSF10,2,no
17.human_TabulaSapiens,normal,Lymph Node,SRSF11,2,no
17.human_TabulaSapiens,normal,Lymph Node,SRSF4,1,no
17.human_TabulaSapiens,normal,Lymph Node,SSU72,1,no
17.human_TabulaSapiens,normal,Lymph Node,STMN1,2,no
17.human_TabulaSapiens,normal,Lymph Node,TENT5C,1,no
17.human_TabulaSapiens,normal,Lymph Node,THRAP3,1,no
17.human_TabulaSapiens,normal,Lymph Node,TMEM50A,2,no
17.human_TabulaSapiens,normal,Lymph Node,TNFRSF1B,2,no
17.human_TabulaSapiens,normal,Lymph Node,UQCRH,1,no
17.human_TabulaSapiens,normal,Lymph Node,USP1,2,no
17.human_TabulaSapiens,normal,Lymph Node,USP48,2,no
17.human_TabulaSapiens,normal,Lymph Node,WASF2,2,no
17.human_TabulaSapiens,normal,Muscle,ARID1A,2,no
17.human_TabulaSapiens,normal,Muscle,ATP5IF1,3,no
17.human_TabulaSapiens,normal,Muscle,CAMTA1,5,no
17.human_TabulaSapiens,normal,Muscle,CAPZB,1,no
17.human_TabulaSapiens,normal,Muscle,CD52,6,no
17.human_TabulaSapiens,normal,Muscle,CDC42,2,no
17.human_TabulaSapiens,normal,Muscle,CLSTN1,4,no
17.human_TabulaSapiens,normal,Muscle,DHRS3,3,no
17.human_TabulaSapiens,normal,Muscle,EIF1AXP1,1,no
17.human_TabulaSapiens,normal,Muscle,EIF4G3,2,no
17.human_TabulaSapiens,normal,Muscle,ELOA,5,no
17.human_TabulaSapiens,normal,Muscle,ERRFI1,2,no
17.human_TabulaSapiens,normal,Muscle,EYA3,5,no
17.human_TabulaSapiens,normal,Muscle,FAAP20,3,no
17.human_TabulaSapiens,normal,Muscle,FCN3,2,no
17.human_TabulaSapiens,normal,Muscle,HNRNPR,5,no
17.human_TabulaSapiens,normal,Muscle,HSPG2,3,no
17.human_TabulaSapiens,normal,Muscle,ID3,5,no
17.human_TabulaSapiens,normal,Muscle,IFI6,2,no
17.human_TabulaSapiens,normal,Muscle,KIF1B,4,no
17.human_TabulaSapiens,normal,Muscle,KLHL21,1,no
17.human_TabulaSapiens,normal,Muscle,LUZP1,4,no
17.human_TabulaSapiens,normal,Muscle,MICOS10,2,no
17.human_TabulaSapiens,normal,Muscle,MRTO4,1,no
17.human_TabulaSapiens,normal,Muscle,MT1XP1,2,no
17.human_TabulaSapiens,normal,Muscle,MTATP6P1,3,no
17.human_TabulaSapiens,normal,Muscle,MTCO1P12,2,no
17.human_TabulaSapiens,normal,Muscle,MTND1P23,3,no
17.human_TabulaSapiens,normal,Muscle,MTND2P28,4,no
17.human_TabulaSapiens,normal,Muscle,NUDC,2,no
17.human_TabulaSapiens,normal,Muscle,PARK7,2,no
17.human_TabulaSapiens,normal,Muscle,PGD,2,no
17.human_TabulaSapiens,normal,Muscle,PHACTR4,5,no
17.human_TabulaSapiens,normal,Muscle,PLA2G2A,2,no
