study,group,tissue,cellType,gene1,gene2,is_marker
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SELL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,YPEL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,ARF1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CDKN1A,78,yes
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CHCHD2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CNBP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,COX7C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,FYB,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-E,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPA2B1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPDL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,IL7R,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,JUN,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,LAPTM5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,NR4A2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PIK3R1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PPIA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PTMA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPS8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SELK,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SUB1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TMA7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TNFAIP3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TOMM7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TXNIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,UBE2D3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YPEL5,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,BCL2A1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,IL1B,5,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,PELI1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,SOD2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ACSL1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ANXA5,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARF1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARPC2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ATP6V0B,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,BTG2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CCNI,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CDC42,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CNBP,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,COX5B,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CSF3R,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCL8,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCR4,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,DUSP2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ENO1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,EREG,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,G0S2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GNG5,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GPX1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,H3F3A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,HNRNPDL,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ID2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1B,23,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1RN,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,JUN,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LAPTM5,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LRRFIP1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,MBNL1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NBPF26,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NFKBIZ,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NLRP3,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,OST4,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PLEK,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PRRC2C,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RASGEF1B,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RHOA,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL31,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS27A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS7,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPSA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A10,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A11,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A12,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A6,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SELK,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SERP1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SRSF7,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TAGLN2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TKT,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TMA7,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TPM3,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TXNIP,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,UQCRH,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZEB2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZFP36L2,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ABI3BP,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,APOD,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ARL6IP5,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,BTG2,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CCN1,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CFH,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,COL6A3,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CTSK,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,DBI,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,DDR2,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,EEF1B2,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,FBLN2,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,GADD45A,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,GLUL,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,HSPD1,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,LAPTM4A,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,LMNA,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,MYOC,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,NFKBIZ,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,NID1,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,OST4,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,PCOLCE2,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,PLPP3,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,PRELP,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,RARRES1,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,RND3,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,RPL22,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,S100A13,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,SSR2,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,TFPI,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,TMEM59,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,TNFAIP6,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ZFP36L2,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,ANXA1,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CCL20,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CD163,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CD44,3,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CD83,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CDKN1A,47,yes
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CTSB,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CTSS,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,CXCL8,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,EREG,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,FCER1G,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,FTH1,3,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,G0S2,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,GLUL,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,HLA-B,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,HLA-E,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,HSP90AB1,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,HSPA1B,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,HSPA5,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,IER3,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,IL1B,11,yes
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,JUN,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,LYVE1,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,MS4A6A,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,NAMPT,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,NLRP3,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,PABPC1,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,PLIN2,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,PNRC1,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,PPIA,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,PSAP,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,RPS20,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,S100A10,1,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,S100A11,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,S100A6,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,S100A9,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,SELENOP,2,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,SOD2,3,no
17.human_TabulaSapiens,normal,Bladder,Immune Cells-Monocyte,ZFAND5,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,ARPC1B,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,COX4I1,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,HLA-A,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,HLA-C,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,HLA-E,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,IFITM2,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,IL1R2,15,yes
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,ITM2B,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,LCP1,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,MYL12A,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,NRGN,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,PF4,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,PFN1,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,S100A10,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,S100A11,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,SERF2,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,SRGN,1,no
17.human_TabulaSapiens,normal,Blood,Endothelial Cell-Lympathic Endothelial Cells,TMSB10,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Eosinophil,IL1R2,1,yes
17.human_TabulaSapiens,normal,Blood,Immune Cells-Eosinophil,MALAT1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Granulocyte,SRGN,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,CCL5,30,yes
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,FAU,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,FTL,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,HLA-C,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,NEAT1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL10,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL18,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL18A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL23A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL28,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL30,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL32,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL34,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL35A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL37,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL39,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPL41,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPLP1,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPLP2,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS14,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS15,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS15A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS18,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS19,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS2,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS23,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS27,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS27A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS7,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-Nk Cell,RPS8,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,CD74,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,GZMA,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,HLA-B,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,HLA-C,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPL11,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPL30,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPL37A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPS10,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPS12,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPS27,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,RPS27A,1,no
17.human_TabulaSapiens,normal,Bone Marrow,Immune Cells-T Cell-Cd8+ T Cell,TMSB10,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,AREG,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,ARPC3,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,BTF3,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,BTG1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,CD14,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,CD52,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,CEBPD,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,CLIC1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,CTSS,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,DUSP1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,EEF1A1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,EEF1B2,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,FAU,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,GAPDH,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,GNAI2,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,GSTP1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,HLA-A,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,HLA-DPA1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,HLA-DPB1,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,HLA-DRA,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,KLF6,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,LYZ,1,no
17.human_TabulaSapiens,normal,Lung,Immune Cells-Monocyte,MCL1,1,no
