gene	HCA.human_normal.TissueStability:normal:Esophagus	HCA.human_normal.TissueStability:normal:Lung	HCA.human_disease.PulmonaryFibrosisGSE135893:disease:Lung	16.human_peripheralBlood:young-healthyOld:normal:Peripheral Blood	16.human_peripheralBlood:young-frail:disease:Peripheral Blood	17.human_TabulaSapiens:normal:Blood	17.human_TabulaSapiens:normal:Bone Marrow	17.human_TabulaSapiens:normal:Muscle	17.human_TabulaSapiens:normal:Tongue	19.human_DiseaseGeneFusion:normal:Esophagus Muscularis
AC011939.1	NA	NA	NA	NA	NA	NA	NA	-0.648841768545825	NA	NA
AC011939.2	NA	NA	NA	NA	NA	NA	NA	2.74574109586997	NA	NA
AC013264.2	NA	NA	-8.4155998352027	NA	NA	NA	NA	NA	NA	NA
AC013461.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.0613301626842
AC015849.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3588014783093
AC015912.3	NA	NA	NA	NA	NA	NA	NA	6.29701110122908	NA	NA
AC016405.1	NA	NA	NA	NA	NA	NA	NA	6.41716255135954	NA	NA
AC016596.2	NA	NA	NA	NA	NA	NA	NA	0.460719929661743	NA	NA
AC016739.1	-2.19287826960647	-9.10535903250688	NA	NA	NA	NA	6.36466639640189	27.3783642758957	NA	NA
AC016831.1	NA	NA	NA	NA	NA	NA	NA	-1.64812213527678	NA	NA
AC016831.5	NA	NA	NA	NA	NA	NA	NA	-6.0724366380817	NA	NA
AC016831.7	NA	NA	NA	NA	NA	NA	NA	-9.9412741736783	NA	0.488915263124982
AC016876.2	NA	NA	NA	NA	NA	NA	NA	-14.8703879508936	NA	NA
AC016995.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.34294508795659
AC017101.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.10096388486384
AC018462.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.50594219611149
AC018682.1	NA	NA	NA	NA	NA	NA	NA	-1.43797963492067	NA	NA
AC018797.3	NA	NA	NA	NA	NA	NA	NA	2.38592750633494	NA	NA
AC018816.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.516152850676249
AC018890.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.589809004974561
AC020656.1	NA	1.086211734085	NA	NA	NA	44.7126946668932	NA	NA	NA	NA
AC020916.1	NA	NA	NA	NA	NA	-5.80900834110625	NA	-2.34824950466793	NA	NA
AC021078.1	NA	NA	NA	NA	NA	NA	NA	-21.6785154130488	NA	NA
AC022217.2	NA	NA	NA	NA	NA	NA	NA	2.973772289451	NA	NA
AC022968.1	NA	NA	NA	NA	NA	NA	NA	2.936009367207	NA	NA
AC024293.1	25.3048788411024	11.5352639411482	NA	NA	NA	NA	NA	4.83787398362441	NA	NA
AC026188.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45944690084171
AC026202.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.593203459810428
AC026271.1	NA	NA	NA	NA	NA	NA	NA	-0.357566095784022	NA	NA
AC026403.1	NA	NA	NA	NA	NA	NA	NA	0.763510588259693	NA	NA
AC026470.1	NA	NA	NA	NA	NA	NA	NA	-0.504070941181303	NA	NA
AC026979.2	NA	NA	NA	NA	NA	NA	NA	1.97294794537722	NA	NA
AC027309.2	NA	NA	NA	NA	NA	NA	NA	13.9044411298048	NA	NA
AC034236.1	NA	NA	NA	NA	NA	NA	6.22212094715712	12.9642013496091	NA	NA
AC058791.1	NA	NA	NA	NA	NA	NA	NA	-16.9592041501982	NA	-0.56471382872858
AC064836.4	NA	NA	NA	NA	NA	NA	NA	-1.20172038227223	NA	NA
AC068888.1	NA	NA	NA	NA	NA	NA	NA	0.571759606238978	NA	NA
AC072062.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-18.4560502482964
AC073343.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.09075121441591
AC073621.1	-0.520978778650332	-6.57360377461348	NA	NA	NA	NA	NA	NA	NA	NA
AC073861.1	-2.04430774257889	0.346515587159583	NA	NA	NA	NA	4.6888823237986	15.6905194530019	NA	NA
AC079250.1	NA	NA	NA	NA	NA	NA	26.9106633838739	9.78991372467184	NA	NA
AC087286.2	NA	NA	NA	NA	NA	NA	NA	-0.355064832096453	NA	NA
AC087623.1	NA	NA	NA	NA	NA	NA	NA	3.45493342105739	NA	NA
AC090114.1	NA	NA	NA	NA	NA	NA	NA	0.496775919591355	NA	NA
AC090498.1	NA	NA	-Inf	-Inf	-Inf	NA	94.9176756944195	269.502971038984	NA	-2.28926125897702
AC090602.1	NA	NA	NA	NA	NA	NA	NA	10.0950963522464	NA	NA
AC092839.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12052115831279
AC093752.1	NA	NA	NA	NA	NA	NA	NA	-0.309143068318233	NA	NA
AC093909.1	NA	NA	NA	NA	NA	NA	NA	3.18905718390631	NA	NA
AC093909.6	NA	NA	NA	NA	NA	NA	NA	5.88317612405568	NA	NA
AC096919.1	NA	0.444742376533113	NA	NA	NA	NA	NA	NA	NA	NA
AC097721.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.567755596159718
AC098617.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07364252697786
AC099336.2	NA	NA	NA	NA	NA	NA	NA	3.95047833518342	NA	NA
AC099560.2	NA	NA	NA	NA	NA	NA	12.4433092490872	9.05589816068932	NA	NA
AC100830.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.18682861303138
AC104563.1	NA	NA	NA	NA	NA	NA	NA	3.51080436658639	NA	NA
AC104581.4	NA	NA	NA	NA	NA	NA	NA	-1.63937370767401	NA	NA
AC104695.3	NA	NA	NA	NA	NA	NA	NA	1.55457424929927	NA	NA
AC104695.4	NA	NA	NA	NA	NA	NA	NA	10.7573020520772	NA	NA
AC105461.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.365837332933252
AC109326.1	NA	NA	NA	NA	NA	NA	NA	-1.8332211026819	NA	NA
AC112491.1	NA	NA	NA	NA	NA	NA	NA	25.7498634891596	NA	NA
AC113404.3	NA	NA	NA	NA	NA	NA	NA	7.11579950796362	NA	NA
AC113935.1	NA	NA	NA	NA	NA	NA	NA	2.03376654227222	NA	NA
AC114760.2	NA	NA	NA	NA	NA	NA	NA	-7.52942199714667	NA	NA
AC115223.1	NA	NA	NA	NA	NA	NA	NA	0.50629698237619	NA	NA
AC116347.1	NA	NA	NA	NA	NA	NA	NA	-0.614535939197278	NA	NA
AC116366.1	NA	NA	NA	NA	NA	NA	NA	-2.61173725459884	NA	NA
AC116533.1	NA	8.8789791541088	NA	NA	NA	NA	3.80953707944555	11.1585341311658	NA	NA
AC118549.1	NA	NA	NA	NA	NA	NA	NA	-4.60723535873369	NA	NA
AC119674.1	NA	NA	NA	NA	NA	NA	NA	-0.825154426442048	NA	NA
AC122718.1	NA	NA	NA	NA	NA	NA	NA	4.19668720279337	NA	NA
AC124319.1	NA	NA	NA	NA	NA	NA	-2.77181153893778	-10.9914732767076	NA	NA
AC129492.1	NA	NA	NA	NA	NA	NA	NA	0.75222299086359	NA	NA
AC129492.4	NA	NA	NA	NA	NA	NA	NA	6.5791346601551	NA	NA
AC133680.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3784290143737
AC243960.3	NA	NA	NA	NA	NA	NA	NA	1.54569366969351	NA	NA
AC244669.1	NA	NA	NA	NA	NA	NA	NA	8.56665109805884	NA	NA
AC245297.1	NA	NA	NA	NA	NA	NA	NA	-12.439595365136	NA	NA
AC245297.3	NA	NA	NA	NA	NA	NA	NA	2.22862250535481	NA	NA
AC245595.1	NA	NA	NA	NA	NA	NA	NA	6.69566149028631	NA	NA
ACAA1	NA	NA	NA	NA	NA	NA	NA	0.496278628019619	NA	-1.06214003205497
ACAA2	NA	NA	NA	NA	NA	NA	NA	0.773555683340908	NA	NA
ACACA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.363385299973261
ACACB	NA	NA	NA	NA	NA	NA	NA	-2.3078400445373	NA	1.31716910182344
ACAD9	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.533081196538647
ACADM	NA	NA	NA	NA	NA	NA	NA	-3.00195828529114	NA	0.962318981394155
ACADVL	-0.411779081965086	NA	NA	NA	NA	NA	3.04933010203983	3.38675396950636	NA	-0.764863723796941
ACAP1	NA	NA	NA	NA	NA	NA	-0.404203927750883	NA	NA	NA
ACAP2	NA	NA	NA	NA	NA	NA	-1.59241768532609	-2.66142527043775	NA	0.776267553865806
ACAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.607938978041467
ACAT1	NA	NA	NA	NA	NA	NA	NA	1.22651624574001	NA	-0.571596738440466
ACAT2	NA	NA	NA	NA	NA	NA	NA	-2.31265336595775	NA	NA
ACBD3	NA	NA	NA	NA	NA	NA	NA	-3.14118272416474	NA	0.431235752658744
ACBD6	NA	NA	NA	NA	NA	NA	NA	-2.7863383608557	NA	0.684175174642561
ACER3	NA	NA	NA	NA	NA	NA	NA	-0.518020158197439	NA	-1.90899504055618
ACIN1	NA	NA	NA	NA	NA	NA	NA	0.406868357523536	NA	0.812459141072687
ACKR1	NA	NA	1.00158501142534	NA	NA	NA	NA	-5.37088879915532	NA	NA
ACKR3	NA	NA	NA	NA	NA	NA	NA	161.310191382379	NA	NA
ACLY	NA	NA	NA	NA	NA	NA	NA	-0.979607627499196	NA	-0.865498070480666
ACO1	NA	NA	NA	NA	NA	NA	NA	-9.79629168284221	NA	0.476840895864265
ACO2	NA	NA	NA	NA	NA	NA	NA	-1.9071677431259	NA	-0.379198673476445
ACOT11	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.31148627540748
ACOT13	NA	NA	NA	NA	NA	NA	NA	-10.729231080151	NA	NA
ACOT2	NA	NA	NA	NA	NA	NA	NA	0.694132887571066	NA	-0.358401427658244
ACOT9	NA	NA	NA	NA	NA	NA	NA	0.41589442210763	NA	-0.495265949877888
ACOX1	NA	NA	NA	NA	NA	NA	NA	-0.457485167886468	NA	-1.39187266617568
ACOX3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42377852043412
ACP1	NA	NA	NA	NA	NA	NA	7.16247023595226	1.20572545172026	NA	0.370033449029148
ACP5	NA	6.96846188019735	-7.11266195104261	NA	NA	NA	NA	NA	NA	NA
ACSL1	NA	NA	2.20251944421706	3.28153275021245	-3.29047104517264	NA	NA	-1.74962254300504	NA	0.344561447368783
ACSL3	NA	NA	NA	NA	NA	NA	NA	-2.79111202664678	NA	-11.1147679699396
ACSL4	NA	NA	NA	NA	NA	NA	NA	0.960999482459389	NA	-3.59086757149783
ACSL5	NA	NA	NA	NA	NA	NA	NA	-1.33745785897461	NA	NA
ACSM3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78081629724212
ACSS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.40893435456318
ACSS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.837167757407624
ACTA2	NA	NA	0.315176763403017	NA	NA	NA	NA	1.9279637970748	NA	42.8098147280629
ACTB	-Inf	-14.8371350007151	130.23537264152	200.344204995501	Inf	8.34516836717084	0.347744079106227	-1.17040315409794	-3.0080155582571	16.3425573153018
ACTG1	-Inf	-1.32566811287291	104.72527140347	77.6774634616261	24.0179318824884	-68.2728186780437	1.63616212953702	22.378028152448	-0.78868075330351	-9.94598040126893
ACTG2	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.8070173693079
ACTL6A	NA	NA	NA	NA	NA	NA	NA	0.579449595303337	NA	NA
ACTN1	NA	NA	NA	NA	NA	NA	NA	2.55649924082029	NA	-20.0415471481793
ACTN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.19797557979701
ACTN4	NA	NA	NA	NA	NA	NA	NA	14.4792587570371	NA	2.27239278860226
ACTR10	NA	NA	NA	NA	NA	NA	NA	1.61164322881194	NA	0.398649018770187
ACTR1A	NA	NA	NA	NA	NA	NA	NA	-0.505627539041438	NA	0.391472356936415
ACTR1B	NA	NA	NA	NA	NA	NA	NA	-1.8395990068025	NA	NA
ACTR2	NA	NA	4.86749183783052	NA	NA	-42.559945537607	-0.533402080739277	-1.40954702287532	NA	0.701895185566844
ACTR3	2.81873161710832	NA	3.84200386331846	NA	NA	-2.62239755464722	-1.97438684976653	-8.10887389682765	NA	-0.398732024569682
ACTR6	NA	NA	NA	NA	NA	NA	NA	-0.595889040157138	NA	NA
ACVR1	NA	NA	NA	NA	NA	NA	NA	-0.566064052105733	NA	-0.715011301308063
ACVR2A	NA	NA	NA	NA	NA	NA	NA	-3.50952915775978	NA	-3.59247444015915
ACVRL1	NA	NA	NA	NA	NA	NA	NA	5.49632032765515	NA	NA
ACYP1	NA	NA	NA	NA	NA	NA	NA	2.02192622226686	NA	NA
ACYP2	NA	NA	NA	NA	NA	NA	NA	-0.340718090059894	NA	1.39031211616948
AD000864.1	NA	NA	NA	NA	NA	NA	NA	0.954526309584813	NA	NA
ADA	NA	NA	NA	NA	NA	NA	NA	6.41059458054753	NA	NA
ADA2	NA	NA	NA	NA	NA	-12.1786215432546	NA	-2.0950379897111	NA	NA
ADAM10	NA	NA	NA	NA	NA	NA	NA	-0.938180296852446	NA	-1.54709445469335
ADAM15	NA	NA	NA	NA	NA	NA	NA	-1.23235269321454	NA	NA
ADAM17	NA	NA	NA	NA	NA	NA	NA	-5.40594108182846	NA	-0.487115454948113
ADAM19	NA	NA	NA	NA	NA	NA	NA	-0.763500848589241	NA	-9.91922062972285
ADAM33	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19000913800466
ADAM9	NA	NA	NA	NA	NA	NA	NA	-0.51508703734967	NA	-2.08798764868738
ADAMTS1	NA	NA	NA	NA	NA	NA	NA	27.2554022625473	NA	-7.91289844290199
ADAMTS17	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.537131631901355
ADAMTS2	NA	NA	NA	NA	NA	NA	NA	-1.46152867614809	NA	1.14489360236121
ADAMTS4	NA	NA	NA	NA	NA	NA	NA	8.41764271778255	NA	NA
ADAMTS5	NA	NA	NA	NA	NA	NA	NA	4.979279052064	NA	NA
ADAMTS9	NA	NA	NA	NA	NA	NA	NA	5.04656872458414	NA	-52.6909441625421
ADAMTS9-AS1	NA	NA	NA	NA	NA	NA	NA	-5.74884742275737	NA	-0.746531645423692
ADAMTS9-AS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-18.9885176856185
ADAMTSL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.08466636672198
ADAMTSL3	NA	NA	NA	NA	NA	NA	NA	-0.579919909667309	NA	-13.8221939548705
ADAMTSL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.10800456828614
ADAR	NA	NA	NA	NA	NA	NA	-1.59102671798465	-10.0507182186478	NA	-1.3292436990201
ADARB1	NA	NA	NA	NA	NA	NA	NA	-1.75225204429043	NA	2.33468625288796
ADCK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.50372067803754
ADCY2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.76042170198045
ADCY3	NA	NA	NA	NA	NA	NA	NA	1.70805192022012	NA	NA
ADCY4	NA	NA	NA	NA	NA	NA	NA	-0.539847760396752	NA	NA
ADCY5	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.26224998379602
ADCY9	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.696764733412287
ADD1	NA	NA	NA	NA	NA	NA	NA	-0.795598206520259	NA	1.03405539616688
ADD3	NA	NA	NA	NA	NA	NA	NA	0.799596485382909	NA	2.05806829082207
ADGRB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.68591195651596
ADGRD1	NA	NA	NA	NA	NA	NA	NA	-12.7975659844142	NA	-1.98647972515667
ADGRE5	NA	NA	NA	0.916670567007098	-3.05240222494398	NA	NA	0.452782491014945	NA	1.34447096768429
ADGRF5	NA	NA	1.85515161407473	NA	NA	NA	NA	-0.486571056354506	NA	2.84585131248102
ADGRG1	NA	NA	NA	NA	NA	NA	NA	2.2372595489952	NA	NA
ADGRL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.538575660690014
ADGRL3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58168127114793
ADGRL4	NA	NA	NA	NA	NA	NA	NA	-0.386219885755752	NA	NA
ADH1B	NA	NA	-15.8317760048708	NA	NA	NA	NA	-91.1395346973351	NA	NA
ADH1C	NA	NA	NA	NA	NA	NA	NA	0.367519996358708	NA	NA
ADH5	NA	NA	NA	NA	NA	NA	NA	0.516840023940043	NA	11.9924160843525
ADHFE1	NA	NA	NA	NA	NA	NA	NA	-0.458912181756236	NA	NA
ADI1	4.26684323094153	NA	NA	NA	NA	NA	NA	-19.5678371805622	NA	2.99972029937075
ADIPOR1	NA	NA	NA	NA	NA	16.3084048426359	0.82787618564184	-1.01044161424713	NA	NA
ADIPOR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.48692399395486
ADIRF	NA	1.89436456946235	22.2733664846072	NA	NA	NA	NA	NA	NA	0.912734403312294
ADK	NA	NA	NA	NA	NA	NA	NA	-0.465827919254627	NA	0.709408743642777
ADM	-0.392496850467893	NA	NA	NA	-3.26180898738832	NA	NA	5.53007348548575	NA	NA
ADNP	NA	NA	NA	NA	NA	NA	NA	-15.1209379868717	NA	0.994798181440783
ADNP2	NA	NA	NA	NA	NA	NA	NA	0.908112510450107	NA	-1.52973471776689
ADPGK	NA	NA	NA	NA	NA	NA	0.713186487206253	-0.647818738903758	NA	NA
ADPRHL1	NA	NA	NA	NA	NA	NA	NA	6.53185231366567	NA	NA
ADRB2	NA	NA	NA	NA	NA	NA	NA	-6.96267908080814	NA	NA
ADRM1	NA	NA	NA	NA	NA	NA	NA	-0.392343622288073	NA	-0.566441575767941
ADSL	NA	NA	NA	NA	NA	NA	NA	0.496262240302736	NA	NA
ADSS	NA	NA	NA	NA	NA	NA	NA	-0.708412670207011	NA	NA
AEBP1	NA	NA	NA	NA	NA	NA	NA	3.96645667905457	NA	-1.29215022045255
AEBP2	NA	NA	NA	NA	NA	NA	NA	-5.17181169442371	NA	0.305305516122219
AEN	NA	NA	NA	NA	NA	NA	NA	-0.378473724668732	NA	NA
AES	NA	NA	1.0845479474278	-9.05728671906234	-2.21819852109357	-10.5741923446972	1.04561958255167	0.970136615098161	NA	1.92762423408123
AF001548.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.47288380001266
AF131217.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.43091807646697
AFAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.663975909386022
AFDN	NA	NA	NA	NA	NA	NA	NA	-6.48556677663119	NA	NA
AFF1	NA	NA	NA	NA	NA	NA	NA	-9.26823230136121	NA	-8.5365908490892
AFF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.89453820303466
AFF4	NA	NA	NA	NA	NA	NA	NA	-8.00463777597043	NA	-2.8282745925541
AFTPH	NA	NA	NA	NA	NA	NA	NA	-4.26624110183805	NA	-1.67701380695573
AGAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.667200228242849
AGAP3	NA	NA	NA	NA	NA	NA	NA	3.21125626275604	NA	NA
AGAP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17626120583414
AGAP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.747729734432145
AGBL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.815650608135958
