study,group,tissue,cellType,gene1,gene2,is_marker
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTX3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL11,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL15,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL29,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL32,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL37A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL9,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPS27,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPS27A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPS8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPSA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A11,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A12,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A4,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A6,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SELL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,TMA7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ZEB2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ZFP36L2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,BHLHE40,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,CD52,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,GNLY,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,RPS18,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,TPM3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,YPEL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,ARF1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,BHLHE40,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,BTF3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CDKN1A,114,yes
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CHCHD2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CNBP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,COX7C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CYTIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,DUSP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,EZR,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,FYB,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-E,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPA2B1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPDL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HSP90AB1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,IL7R,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,JUN,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,LAPTM5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,NPM1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,NR4A2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PIK3R1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PPIA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PTMA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RGS1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPL31,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPL37,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPS8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,S100A6,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SELK,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SRSF7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SUB1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TAGLN2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TMA7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TNFAIP3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TOMM7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TRBV5-1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TXNIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,UBE2D3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YPEL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,ZFP36L2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CD48,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CD74,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CD99,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CNBP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,COX7C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,EZR,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,FGFBP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,FYB,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,GNLY,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,HINT1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,HNRNPA0,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,HNRNPA2B1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,IL7R,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,LAPTM5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,LTB,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,PPIA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,RGS1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,RPL32,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,TRBV7-2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,TRBV7-9,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,TXNIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,UBE2D3,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,BCL2A1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,CD83,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,HLA-A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,IL1B,13,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,PELI1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,PNRC1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,PTMA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,SOD2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ACSL1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ANXA5,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARF1,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARPC2,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ATP6V0B,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,BTG2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CCNI,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CD52,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CDC42,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CDC42EP3,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CNBP,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,COX5B,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CSF3R,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CTSS,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCL8,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCR4,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CYTIP,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,DUSP2,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,EEF1B2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ENO1,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,EREG,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,G0S2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GNG5,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GPX1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,H3F3A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,HNRNPDL,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ID2,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1B,34,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1RN,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,JUN,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LAPTM5,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LRRFIP1,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,MBNL1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NBPF26,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NFKBIZ,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NLRP3,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,OST4,6,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PLEK,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PRRC2C,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTGS2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTMA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RASGEF1B,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RHOA,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RNF19B,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL14,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL24,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL31,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL5,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS27A,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS3A,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS7,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPSA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A10,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A11,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A12,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A6,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SELK,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SERP1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SH3BGRL3,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SRSF7,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TAGLN2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TKT,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TMA7,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TPM3,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TXNIP,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,UQCRH,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,YBX1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZEB2,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZFP36L2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,ACTB,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CD74,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,EEF1A1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-C,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,IL7R,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PPIA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PTPRC,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPL34,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,S100A10,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,S100A6,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SH3BGRL3,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,UBE2D3,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ABI3BP,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,APOD,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ARL6IP5,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,BTG2,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CCDC80,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CCN1,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CFH,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,COL6A3,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CTSK,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,CYBRD1,5,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,DBI,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,DDR2,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,EEF1B2,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ENO1,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,FBLN2,5,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,FSTL1,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,GADD45A,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,GAS5,4,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,GLUL,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,GPX1,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,HES1,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,HSPD1,5,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,HSPE1,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,ID2,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,IGFBP5,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,JUN,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,LAPTM4A,5,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,LMNA,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,MGST3,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,MYOC,5,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,NFE2L2,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,NFKBIZ,2,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,NID1,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,OLFML3,3,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,OST4,1,no
17.human_TabulaSapiens,normal,Bladder,Fibroblast,PCOLCE2,4,no
