study,group,tissue,cellType,gene1,gene2,is_marker
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SELL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,YPEL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,ARF1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CDKN1A,78,yes
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CHCHD2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CNBP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,COX7C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,FYB,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-E,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPA2B1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPDL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,IL7R,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,JUN,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,LAPTM5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,NR4A2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PIK3R1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PPIA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PTMA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPS8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SELK,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SUB1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TMA7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TNFAIP3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TOMM7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TXNIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,UBE2D3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YPEL5,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,BCL2A1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,IL1B,5,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,PELI1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,SOD2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ACSL1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ANXA5,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARF1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARPC2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ATP6V0B,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,BTG2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CCNI,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CDC42,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CNBP,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,COX5B,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CSF3R,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCL8,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCR4,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,DUSP2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ENO1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,EREG,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,G0S2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GNG5,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GPX1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,H3F3A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,HNRNPDL,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ID2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1B,23,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1RN,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,JUN,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LAPTM5,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LRRFIP1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,MBNL1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NBPF26,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NFKBIZ,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NLRP3,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,OST4,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PLEK,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PRRC2C,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RASGEF1B,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RHOA,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL31,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS27A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS7,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPSA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A10,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A11,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A12,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A6,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SELK,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SERP1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SRSF7,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TAGLN2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TKT,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TMA7,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TPM3,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TXNIP,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,UQCRH,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZEB2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZFP36L2,3,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,ACTR2,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,C1orf162,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CAP1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CAST,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CCNI,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CSTA,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,H2AFY,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,HNRNPU,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,IL1R2,56,yes
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,LST1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,MBNL1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,MCL1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,PCBP1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,RPL10P9,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,RPL22,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,S100A12,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,S100A8,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,SERPINB1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,SMAP2,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,TPM3,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,VAMP8,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,ZFP36L2,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,ATP1A1,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,FNBP1L,2,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,GNAI3,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,JTB,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,RPL7P9,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,SLC30A7,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Endocardial Cell,TINAGL1,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,CALM2,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,CDKN1A,14,yes
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,CFL1,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,DNAJA1,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,HLA-B,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,HLA-E,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,HMGB1,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,HSPA8,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,ID3,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,IFITM2,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,KLF6,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,PTPRB,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,RPS27A,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,TINAGL1,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,TMSB4XP8,1,no
17.human_TabulaSapiens,normal,Muscle,Endothelial Cell-Global,UBC,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,ATP1A1,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,DDR2,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,DPT,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,ENO1,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,ERRFI1,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,ID3,3,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,IFI16,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,JUN,3,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,KLHL21,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,LMNA,3,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,LMO4,3,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,MCL1,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,MTATP6P1,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,MTCO1P12,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,MTND1P23,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,NDUFS5,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,NFIA,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,NUDC,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,PLOD1,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,RPL11,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,RPL22,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,RPS27,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,RPS8,3,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,S100A10,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,S100A13,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,S100A4,3,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,S100A6,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,SERBP1,2,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,SSU72,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,TGFBR3,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,TMEM59,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,TMSB4XP1,1,no
17.human_TabulaSapiens,normal,Muscle,Fibroblast,YBX1,2,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,AC073861.1,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,AC099560.2,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,BTF3,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,CD52,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,EEF1B2,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,HINT1,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,HMGB1P5,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,PDCL3,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,PDE4B,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,RPL5,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,S100A11,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,S100A6,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,SNRPGP10,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,TMSB4XP1,1,no
17.human_TabulaSapiens,normal,Muscle,Immune Cells-T Cell-Cd8+ T Cell,TMSB4XP8,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,ATF3,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,JUN,2,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,MTND2P28,2,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPL11,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPL29,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPL32,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPL37A,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPS27,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPS27A,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPS8,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,RPSA,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,S100A6,2,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,TMSB10,1,no
17.human_TabulaSapiens,normal,Muscle,Progenitor Cells,VIT,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,IGFBP5,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,NDUFS5,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,RPL10P9,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,RPL11,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,RPL24,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,RPL37,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,RPL37A,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,RPS10,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,S100A10,1,no
17.human_TabulaSapiens,normal,Muscle,Satellite Cell,SOD2,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,CALM2,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,CCL2,11,yes
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,EEF1A1,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,IGFBP7,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,MT-CO1,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,MT-CO3,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,RPL23,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,RPL41,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,RPLP1,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,RPS11,1,no
17.human_TabulaSapiens,normal,Muscle,Smooth Muscle Cells,RPS27,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,ALPL,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,AREG,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,ARPC2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,ATP13A4-AS1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,ATPIF1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,C4BPA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,CALM2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,CD55,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,CHI3L1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,CLDN18,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,COX7C,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,CXCL2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,DBI,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,DHCR24,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,EGR1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,ENO1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,GNG5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,GPX1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,H3F3A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HINT1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-B,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-C,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-DPA1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-DPB1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-DRB1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HLA-DRB5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,HMGN2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,JUN,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,LAMP3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,LMNA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,LPCAT1,1,no
