study,group,tissue,gene1,gene2,is_marker
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CTSS,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,CXCR4,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,DUSP2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ENO1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,GNG5,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ID2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,IL1B,35,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,JAK1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,LMNA,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,MCL1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NBPF26,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NCF2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,NLRP3,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PCBP1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PLEK,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PRRC2C,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PTP4A2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,PTPRC,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,REL,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,RGS1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A11,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A12,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,S100A6,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,SRSF7,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,TNFRSF1B,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,TPM3,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,VAMP8,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,YBX1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ZEB2,2,no
17.human_TabulaSapiens,normal,Muscle,ARID1A,1,no
17.human_TabulaSapiens,normal,Muscle,ATP5IF1,1,no
17.human_TabulaSapiens,normal,Muscle,CAMTA1,1,no
17.human_TabulaSapiens,normal,Muscle,CD52,3,no
17.human_TabulaSapiens,normal,Muscle,CLSTN1,3,no
17.human_TabulaSapiens,normal,Muscle,DHRS3,2,no
17.human_TabulaSapiens,normal,Muscle,EIF1AXP1,1,no
17.human_TabulaSapiens,normal,Muscle,EIF4G3,1,no
17.human_TabulaSapiens,normal,Muscle,ELOA,2,no
17.human_TabulaSapiens,normal,Muscle,EYA3,3,no
17.human_TabulaSapiens,normal,Muscle,HNRNPR,1,no
17.human_TabulaSapiens,normal,Muscle,HSPG2,1,no
17.human_TabulaSapiens,normal,Muscle,ID3,1,no
17.human_TabulaSapiens,normal,Muscle,KLHL21,1,no
17.human_TabulaSapiens,normal,Muscle,LUZP1,1,no
17.human_TabulaSapiens,normal,Muscle,MICOS10,1,no
17.human_TabulaSapiens,normal,Muscle,MRTO4,1,no
17.human_TabulaSapiens,normal,Muscle,MTATP6P1,2,no
17.human_TabulaSapiens,normal,Muscle,MTND1P23,1,no
17.human_TabulaSapiens,normal,Muscle,MTND2P28,1,no
17.human_TabulaSapiens,normal,Muscle,NUDC,1,no
17.human_TabulaSapiens,normal,Muscle,PARK7,1,no
17.human_TabulaSapiens,normal,Muscle,PHACTR4,2,no
17.human_TabulaSapiens,normal,Muscle,PLOD1,1,no
17.human_TabulaSapiens,normal,Muscle,PRDM2,1,no
17.human_TabulaSapiens,normal,Muscle,RPL11,2,no
17.human_TabulaSapiens,normal,Muscle,SELENON,1,no
17.human_TabulaSapiens,normal,Muscle,SH3BGRL3,1,no
17.human_TabulaSapiens,normal,Muscle,SLC25A33,3,no
17.human_TabulaSapiens,normal,Muscle,SPCS2P4,4,no
17.human_TabulaSapiens,normal,Muscle,SPSB1,2,no
17.human_TabulaSapiens,normal,Muscle,SRM,1,no
17.human_TabulaSapiens,normal,Muscle,SRRM1,1,no
17.human_TabulaSapiens,normal,Muscle,SRSF4,2,no
17.human_TabulaSapiens,normal,Muscle,SSU72,1,no
17.human_TabulaSapiens,normal,Muscle,VPS13D,3,no
17.human_TabulaSapiens,normal,Muscle,WASF2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,AKR1A1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ALPL,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ARPC5,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP1A1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP1B1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP5F1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ATP6V0B,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1QA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1QB,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1QC,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,C1orf194,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CAP1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CD52,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CD53,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CDC42,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CTSS,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CYP4B1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,CYR61,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,DHCR24,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ERRFI1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,F3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FABP3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FAM183A,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FCER1G,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FCGR2A,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FCGR3A,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FCN3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,FGR,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,GLUL,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,GNG5,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,HMGN2,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ID3,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,IFI6,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,ISG15,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,JUN,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,KRTCAP2,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,LAMTOR5,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,LAPTM5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,LMNA,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MCL1,5,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MGST3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MINOS1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,MUC1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,NCF2,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,NDUFS5,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,NUDC,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PPT1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,PRDX1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RAB13,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RGS16,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPL11,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPL22,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPL5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,RPS27,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A11,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A13,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A14,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A8,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,S100A9,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SCP2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SERBP1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SFN,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,SH3BGRL3,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TAGLN2,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TMEM50A,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TPM3,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TSPAN1,4,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,TSTD1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,UFC1,3,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,UQCRH,4,no
